Frame_ID,User_ID,Model,R,D,Pred_Cost,Real_Cost,Param_a,Param_b,Param_c,Mode
0,2,bicycle,0.511439,0.528106,0.006688,0.006786,0.885473,-0.51831,0.610983,Slow
1,2,bicycle,0.528106,0.544772,0.006688,0.006615,0.884321,-0.516555,0.610314,Slow
2,2,bicycle,0.544772,0.561439,0.006688,0.006624,0.884019,-0.516101,0.610159,Slow
3,2,bicycle,0.561439,0.578106,0.006688,0.006706,0.885097,-0.517741,0.610773,Slow
4,2,bicycle,0.578106,0.594772,0.006689,0.00649,0.885224,-0.517928,0.610826,Slow
5,2,bicycle,0.594772,0.611439,0.006688,0.006704,0.884716,-0.517161,0.610551,Slow
6,2,bicycle,0.611439,0.628106,0.006689,0.00678,0.885107,-0.517755,0.610766,Slow
7,2,bicycle,0.628106,0.644772,0.006689,0.006536,0.88631,-0.519587,0.611462,Slow
8,2,bicycle,0.644772,0.661439,0.006689,0.00679,0.885569,-0.518462,0.611042,Slow
9,2,bicycle,0.661439,0.678106,0.006689,0.006624,0.884693,-0.517124,0.61052,Slow
10,2,bicycle,0.678106,0.694772,0.006689,0.006708,0.883862,-0.515863,0.610056,Slow
11,2,bicycle,0.694772,0.711439,0.006689,0.006637,0.883417,-0.515192,0.609816,Slow
12,2,bicycle,0.711439,0.728106,0.006689,0.006742,0.88331,-0.515023,0.609731,Slow
13,2,bicycle,0.728106,0.744772,0.006689,0.006784,0.884257,-0.51646,0.610264,Slow
14,2,bicycle,0.744772,0.761439,0.00669,0.00675,0.884665,-0.517084,0.610501,Slow
15,2,bicycle,0.761439,0.778106,0.006689,0.006689,0.884034,-0.516128,0.610155,Slow
16,2,bicycle,0.778106,0.794772,0.006689,0.006645,0.884873,-0.51741,0.61065,Slow
17,2,bicycle,0.794772,0.811439,0.006689,0.006682,0.885854,-0.518905,0.611222,Slow
18,2,bicycle,0.811439,0.828106,0.006688,0.006749,0.886766,-0.520294,0.611757,Slow
19,2,bicycle,0.828106,0.844772,0.006688,0.006752,0.886833,-0.520398,0.611807,Slow
20,2,bicycle,0.844772,0.861439,0.006688,0.00674,0.887065,-0.520752,0.611939,Slow
21,2,bicycle,0.861439,0.878106,0.006689,0.006569,0.886909,-0.520509,0.611828,Slow
22,2,bicycle,0.878106,0.894772,0.006689,0.006687,0.886417,-0.519759,0.611534,Slow
23,2,bicycle,0.894772,0.911439,0.00669,0.006631,0.885783,-0.518788,0.611149,Slow
24,2,bicycle,0.911439,0.928106,0.00669,0.006752,0.88518,-0.517866,0.610792,Slow
25,2,bicycle,0.928106,0.944772,0.00669,0.006619,0.885139,-0.517799,0.610757,Slow
26,2,bicycle,0.944772,0.961439,0.00669,0.006732,0.884772,-0.517237,0.610531,Slow
