Frame_ID,User_ID,Model,R,D,Pred_Cost,Real_Cost,Param_a,Param_b,Param_c,Mode
0,2,flowers,0.511439,0.528106,0.007214,0.007287,0.399196,0.166119,0.42497,Slow
1,2,flowers,0.528106,0.544772,0.007214,0.007159,0.399104,0.16621,0.424968,Slow
2,2,flowers,0.544772,0.561439,0.007214,0.007166,0.399524,0.165628,0.425165,Slow
3,2,flowers,0.561439,0.578106,0.007214,0.007228,0.399293,0.165972,0.425032,Slow
4,2,flowers,0.578106,0.594772,0.007213,0.007066,0.398662,0.166828,0.424767,Slow
5,2,flowers,0.594772,0.611439,0.007214,0.007226,0.399075,0.16625,0.424966,Slow
6,2,flowers,0.611439,0.628106,0.007213,0.007281,0.398588,0.166914,0.424766,Slow
7,2,flowers,0.628106,0.644772,0.007213,0.0071,0.398586,0.16695,0.424727,Slow
8,2,flowers,0.644772,0.661439,0.007213,0.007288,0.398626,0.166868,0.424784,Slow
9,2,flowers,0.661439,0.678106,0.007213,0.007165,0.398194,0.167427,0.424632,Slow
10,2,flowers,0.678106,0.694772,0.007213,0.007227,0.39861,0.166838,0.424837,Slow
11,2,flowers,0.694772,0.711439,0.007213,0.007175,0.398897,0.166429,0.424988,Slow
12,2,flowers,0.711439,0.728106,0.007213,0.007252,0.398291,0.167248,0.424732,Slow
13,2,flowers,0.728106,0.744772,0.007212,0.007283,0.397937,0.167758,0.424549,Slow
14,2,flowers,0.744772,0.761439,0.007212,0.007257,0.397709,0.168068,0.424461,Slow
15,2,flowers,0.761439,0.778106,0.007213,0.007212,0.398266,0.167296,0.424715,Slow
16,2,flowers,0.778106,0.794772,0.007213,0.00718,0.398346,0.167204,0.424737,Slow
17,2,flowers,0.794772,0.811439,0.007213,0.007208,0.398597,0.166897,0.4248,Slow
18,2,flowers,0.811439,0.828106,0.007214,0.007259,0.398947,0.166454,0.424908,Slow
19,2,flowers,0.828106,0.844772,0.007214,0.007262,0.399466,0.16576,0.425106,Slow
20,2,flowers,0.844772,0.861439,0.007214,0.007252,0.399142,0.166196,0.424985,Slow
21,2,flowers,0.861439,0.878106,0.007213,0.007125,0.398505,0.167053,0.424726,Slow
22,2,flowers,0.878106,0.894772,0.007213,0.007211,0.398064,0.167629,0.424572,Slow
23,2,flowers,0.894772,0.911439,0.007212,0.007169,0.397509,0.168361,0.424362,Slow
24,2,flowers,0.911439,0.928106,0.007212,0.007258,0.397497,0.168369,0.424357,Slow
25,2,flowers,0.928106,0.944772,0.007212,0.00716,0.397416,0.168488,0.424304,Slow
26,2,flowers,0.944772,0.961439,0.007212,0.007243,0.396892,0.16918,0.424109,Slow
